Stock,beta,ln.alpha,sigma,SmsyCalc,Smsy,Umsy,SgenCalc,Sgen,Ratio,ln.alpha.c,Smsy.c,Sgen.c,Ratio.c,Smsy.Diff,Sgen.Diff,Ratio.Diff,Smsy.PercDiff,Sgen.PercDiff,Ratio.PercDiff
Damdoch,1.45555979015182e-4,1.765,0.68,Scheuerell2016,4579.660188963489,0.6665969223614341,samSim,892.7690799294811,5.13,1.9962,4951.406429040257,750.2700725249751,6.6,371.7462400767672,-142.49900740450596,1.4699999999999998,8.12,-15.96,28.65
Kwinag,9.86727610713783e-5,1.686,0.909,Scheuerell2016,6550.975973733631,0.6464028870405584,samSim,1392.3631266199106,4.7,2.0991405,7524.675766809716,1019.8762287438874,7.38,973.6997930760854,-372.48689787602325,2.6799999999999997,14.86,-26.75,57.02
LNassSRT,2.9254545043774702e-5,1.282,1.183,Scheuerell2016,18083.785572729095,0.5290329195993664,samSim,5976.648299062739,3.03,1.9817445,24527.366690549585,3775.341402381813,6.5,6443.5811178204895,-2201.306896680926,3.47,35.63,-36.83,114.52
Meziadin,4.51010350653633e-6,1.789,0.683,Scheuerell2016,149122.39200342857,0.6725574230777485,samSim,28317.571917725327,5.27,2.0222445,161049.00149535332,23723.326540975544,6.79,11926.609491924755,-4594.245376749783,1.5200000000000005,8,-16.22,28.84
Alastair,4.67817946711341e-5,1.384,0.82,Scheuerell2016,11990.175694393602,0.5609219374059442,samSim,3546.661908431734,3.38,1.7201999999999997,14006.59497291989,2867.6143043256957,4.88,2016.4192785262876,-679.0476041060383,1.5,16.82,-19.15,44.38
Asitka,7.61101046421868e-4,1.225,1.193,Scheuerell2016,670.7945745925354,0.5105424526564905,samSim,235.78467129729648,2.84,1.9366245000000002,929.524941936906,150.26764311334796,6.19,258.7303673443706,-85.51702818394853,3.3500000000000005,38.57,-36.27,117.96
Bab-EW,1.1644065948582799e-5,1.134,0.878,Scheuerell2016,41224.87433569561,0.4800251554868782,samSim,15975.603642560165,2.58,1.519442,51605.65400918861,13163.780440303468,3.92,10380.779673493002,-2811.823202256697,1.3399999999999999,25.18,-17.6,51.94
Bab-LW,2.17354595353185e-6,1.206,0.91,Scheuerell2016,232004.31337234232,0.50427203653238994,samSim,83235.31402279287,2.79,1.62005,289326.2080254261,66100.57141447735,4.38,57321.89465308376,-17134.742608315515,1.5899999999999999,24.71,-20.59,56.99
Bab-MW,3.6005490764413996e-5,1.487,0.944,Scheuerell2016,16429.95591700145,0.5915686260293248,samSim,4342.550926958297,3.78,1.932568,19623.20679444416,3186.331806399407,6.16,3193.250877442708,-1156.2191205588902,2.3800000000000003,19.44,-26.63,62.96
Bear,1.81974071773268e-4,1.987,0.729,Scheuerell2016,3949.423257415157,0.7186926313078796,samSim,604.450053853329,6.53,2.2527205,4244.718569763365,487.5708260389957,8.71,295.295312348208,-116.87922781433332,2.1800000000000006,7.48,-19.34,33.38
Fulton,3.50341777371321e-6,2.266,0.952,Scheuerell2016,221178.21519207957,0.7748796902620967,samSim,25046.034695994007,8.83,2.719152,241567.88964403616,16898.072726224327,14.3,20389.674451956584,-8147.96196976968,5.470000000000001,9.22,-32.53,61.95
Johnston,7.59515468437515e-5,0.527,0.495,Scheuerell2016,3231.1914590547185,0.24541398946352422,samSim,2265.838401050837,1.43,0.6495125,3911.0079688987475,2462.912601617259,1.59,679.816509844029,197.07420056642195,0.16000000000000014,21.04,8.7,11.19
Kitsumk,5.02647244805865e-5,1.824,0.301,Scheuerell2016,13550.365545091643,0.6811053907352638,samSim,2476.6353563686557,5.47,1.8693005,13765.446963948072,2394.6240565331414,5.75,215.08141885642908,-82.01129983551436,0.28000000000000025,1.59,-3.31,5.12
Kitwanga,1.3950617145132798e-4,1.159,1.25,Scheuerell2016,3501.861109717129,0.48853123637093543,samSim,1321.3128734882152,2.65,1.94025,5077.066205101426,817.5315952298688,6.21,1575.2050953842972,-503.78127825834645,3.56,44.98,-38.13,134.34
