Stock,Median.LTAvg,SIQR.LTAvg,Median.Curr,SIQR.Curr,Median.CurrLS,SIQR.CurrLS,Median.CurrLS2,SIQR.CurrLS2,Median.CurrLS3,SIQR.CurrLS3,Median.PercChange,SIQR.PercChange,Median.PercChange2,SIQR.PercChange2,Median.PercChange3,SIQR.PercChange3
Pinkut,231.9944119361612,0.6577502696380907,111.12391136486751,0.8962260525457473,111.33837700834903,0.8345483221111804,118.20941626266945,0.7893965562238003,127.84562195600321,0.780438324524412,-52.10060861489806,36.25628052404622,6.171312568895429,-5.410323727349702,14.82619505619015,-6.48374649533592
Babine Late Wild,245.15813517562435,0.3698133901058309,124.54466157744906,0.5410807978270411,123.68005195781423,0.5390822804899874,124.67280522173203,0.5218974814776102,132.5583839001681,0.48302436961010997,-49.19823423839115,46.31184600216827,0.802678563117378,-3.1877877708682023,7.178467183521385,-10.39876711008286
Swan/Stephens,20.649156005037685,0.33391905085419166,10.685077055429112,0.6537591067566225,10.489718236742327,0.6597110651641226,9.079633199504853,0.7487505881488924,10.164244173159393,0.712370786808651,-48.25417051998484,95.7837101789354,-13.442544455563828,13.496745421818657,-3.1027912879765953,7.982240169251627
Babine Early Wild,42.24072990550922,0.27875243358542534,21.906852223863293,0.6660177788811593,21.413848302799995,0.703572787739743,24.27350280456784,0.5665125276482582,27.455650909306716,0.5339576998576833,-48.138083141868,138.9280589642114,13.354229755115663,-19.480608471484036,28.214464402069744,-24.10768165536295
SkeenaWild,297.6920213811165,0.46486717164870073,157.45168218915168,0.7055243888561139,160.94367519177737,0.6906019087335897,174.82937816526945,0.5946675415515454,188.01154141061778,0.5464224524413386,-47.109203176266476,51.76902820517457,8.627678569503356,-13.891413558060762,16.818223012856432,-20.877361395748846
Meziadin,155.70596340756643,0.2257795651845694,93.07511455551713,0.5332313759532148,94.3152282481662,0.5328048662953213,115.8120245896994,0.36964507491808657,119.4579177612461,0.28279993077665466,-40.22379585302754,136.17344444671545,22.79249781909016,-30.622804275740055,26.658144161962237,-46.92241969503611
Kitwanga,5.585846189570559,1.1876916828291013,3.7509786485594176,1.3102891771372307,3.753684530350569,1.3636856127710981,3.563914351669362,1.341695388469564,3.746664637631628,1.332760703287953,-32.84851531424295,10.322333319376298,-5.055570790427706,-1.6125582095750515,-0.18701339076795565,-2.267744793486804
Nass,269.98806957830476,0.49484985167647005,192.75828207742734,0.4019300910966081,190.1246520355251,0.4023667146947173,202.01740645814743,0.3301143665284124,210.30463163152223,0.34838003221010067,-28.60488895731685,-18.77736454099462,6.255240598888852,-17.95684024736589,10.6140783848622,-13.417283416591076
Lower Nass Sea & River Type,42.777616775079565,0.8302521418453692,30.56856176450175,1.0694217466932714,30.235640084998668,1.0831110169345664,36.06554250444321,1.1278786297176984,40.5790359904542,1.1340882286186116,-28.540755495500846,28.806863938502968,19.281557800845196,4.133243230212342,34.20928373395799,4.706554627089062
Damdochax,4.364998272604071,0.26045586339355103,3.1982891743799327,0.2356144874211313,3.174276114945332,0.23189824895855377,3.3271884498588262,0.2403507138739527,3.3772835485201917,0.24637515210740804,-26.728741350179337,-9.537652809483577,4.817234839576261,3.644902431716774,6.395393035251322,6.242782433187615
Skeena,1228.2871771746484,0.5578622599758596,907.7027190851709,0.6156164172201759,921.9745529866302,0.6003452510422924,931.1276956768196,0.5895693507811901,970.1030955439994,0.5776548777566574,-26.100122515884085,10.352762928758708,0.9927760652979918,-1.7949505292818888,5.220159537100277,-3.7795540559771315
Fulton,368.5964034395267,0.7139145333281388,326.6622548889458,0.7643535924438173,324.3104309109391,0.7830262713334956,329.328829683365,0.7275274349943859,333.0563509943089,0.7720449710186338,-11.376711264482186,7.065139699641751,1.5474059093103814,-7.087736180881267,2.6967742168525994,-1.4024178647493648
Babine Mid Wild,17.286547126695545,0.20267561922142785,15.896120992943752,0.2871259753749379,15.90450810835484,0.27660942746105743,16.25428247175808,0.2601896970440024,16.438910682240483,0.2615646454487863,-8.043400012513576,41.66774300624983,2.199215222629239,-5.936070425281033,3.3600698006178202,-5.438998283740417
Slamgeesh,0.2655832325078428,0.1787377121725312,0.25751584162800467,0.19180620197920015,0.25751584162800467,0.18171304583064682,0.2572229501302645,0.18027004242661188,0.2582204387172894,0.18066790311606673,-3.0376130313873944,7.311545866747049,-0.1137372737492722,-0.7941110653000637,0.2736131046658105,-0.5751610787230665
Kitsumkalum,14.648390329512411,0.128998005029118,14.228558867761349,0.10921147090523328,14.205183963756609,0.11151313964256278,14.463586062041477,0.1443891486371975,14.18051724860042,0.14516497750052804,-2.866058674755678,-15.338635755970353,1.8190690028665666,29.48173560534071,-0.17364586913568936,30.17746425742361
Morice,10.40755066882818,0.173261504294319,10.278390883747242,0.19682256967992992,9.882148536464447,0.19800074820652816,9.116773007644532,0.34370207822339355,9.796455704038591,0.32418411043793993,-1.2410199977962566,13.59855755701381,-7.745031619346042,73.58625224228398,-0.867147787848508,63.728730004491695
Mcdonell,2.1805404314263455,0.11452600597503869,2.173395642226916,0.11347969889498465,2.1684183997703377,0.11734845557461383,2.181042285988972,0.11573904727609946,2.1742922909712417,0.11478404991491697,-0.3276613951503879,-0.9135978078918503,0.5821702223137232,-1.3714780400250435,0.2708836634814593,-2.1852913590893652
Asitka,0.8384818889294875,0.7799301985520668,0.8376628440696726,0.7546660053269147,0.8307326784743491,0.7398617588838791,0.8347169670342637,0.6872259832883096,0.8419813090602023,0.7270558837633891,-0.09768187847928084,-3.2392890122801754,0.47961139162501687,-7.114271681641352,1.3540614059520892,-1.7308470084747
Sustut,0.76881801954226,0.1945278801414805,0.7721297928132509,0.1868357035615117,0.7663745129067684,0.18515963430906282,0.770848319263975,0.19118673048194287,0.769863860161538,0.1886392185160192,0.4307616609926321,-3.9542797538194954,0.5837624140497581,3.255081052287999,0.4553057540411895,1.8792347586668705
Motase,0.5130298493998192,0.39614410324176547,0.5157818847544594,0.4020727384139099,0.5194215236411842,0.3997908321375341,0.5065462135704054,0.4078881655980731,0.509561432681735,0.40449577388507335,0.5364279208821268,1.496585490892994,-2.478778696062097,2.0253924826753984,-1.8982830919922575,1.17685083531898
Lakelse,8.941083321920072,0.17714113745223553,9.07956878068047,0.48444200944376625,9.047243175355005,0.4976492908933579,11.4190026043209,0.43796226964820745,10.100145518950285,0.612293545372774,1.5488666616145284,173.47798281717118,26.215272243666977,-11.993792081568722,11.637825171577369,23.037158211079102
Bear,4.496092281192472,0.14278281459785208,4.57415441228771,0.13805490783667132,4.57519966558299,0.13619266908217736,4.533295061876787,0.1469115081846508,4.420339915100612,0.15449146638311484,1.7362217279609187,-3.311257572906736,-0.9159076492645907,7.870349538421764,-3.3847648584019687,13.435963495139488
Johnston,2.96450713705664,0.18652620956728772,3.1850288199363828,0.1966517671837224,3.1989492372946815,0.19149253951111583,3.166552769031872,0.19962850863845824,3.1722099850497143,0.19544078439561985,7.438730037893956,5.428490526840402,-1.0127221740538366,4.248713369259029,-0.8358761037289969,2.061827000980801
Alastair,11.584961018297697,0.14440719876474242,13.091526120781733,0.31918819874036636,13.100259641835942,0.3276832500174117,14.139713505596912,0.27165630034476507,13.606861402035767,0.2673292583830405,13.004490046229014,121.03343979434452,7.934605055013205,-17.097898555897995,3.8671123630403605,-18.41839387004501
Kwinageese,7.592645059531976,0.42197694097604643,8.683821795250406,0.6594512569192911,8.766566479919893,0.7077387625342915,8.793542116517724,0.7061278427108912,8.656641277199576,0.7205196970619148,14.37149672034968,56.276609663542,0.30771039790342847,-0.22761503377768896,-1.2539139807141575,1.8058830749720363
