Aggregate,Scenario,BM,Label,Mean,Median,p10,p25,p75,p90,Stock
Nass,LTAvg,Umsy,Agg Fit,61,62,51,56,67,71,NA
Nass,LTAvg,Umsy,Min,47,47,NA,NA,NA,NA,NA
Nass,LTAvg,Umsy,Med,62.5,63,NA,NA,NA,NA,NA
Nass,LTAvg,Umsy,Max,67,67,NA,NA,NA,NA,NA
Nass,LTAvg,Umsy,Damdoch,67,67,61,64,70,73,Damdochax
Nass,LTAvg,Umsy,Meziadin,65,65,58,61,69,73,Meziadin
Nass,LTAvg,Umsy,Kwinag,60,61,52,56,65,69,Kwinageese
Nass,LTAvg,Umsy,LNassSRT,47,47,34,41,53,58,Lower Nass Sea & River Type
Nass,LTAvg,Umsy,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Umsy,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Umsy,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Umsy,Agg Fit,52,55,31,44,62,68,NA
Nass,Now,Umsy,Min,43,45,NA,NA,NA,NA,NA
Nass,Now,Umsy,Med,50.5,50,NA,NA,NA,NA,NA
Nass,Now,Umsy,Max,62,63,NA,NA,NA,NA,NA
Nass,Now,Umsy,Damdoch,62,63,52,57,67,71,Damdochax
Nass,Now,Umsy,Kwinag,54,51,44,48,62,67,Kwinageese
Nass,Now,Umsy,LNassSRT,47,49,20,34,62,73,Lower Nass Sea & River Type
Nass,Now,Umsy,Meziadin,43,45,22,32,56,61,Meziadin
Nass,Now,Umsy,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Umsy,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Umsy,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,LTAvg,Umsy.c,Agg Fit,66,67,57,61,71,75,NA
Nass,LTAvg,Umsy.c,Min,68,68,NA,NA,NA,NA,NA
Nass,LTAvg,Umsy.c,Med,71.5,71.5,NA,NA,NA,NA,NA
Nass,LTAvg,Umsy.c,Max,73,72,NA,NA,NA,NA,NA
Nass,LTAvg,Umsy.c,Damdoch,73,72,67,69,76,78,Damdochax
Nass,LTAvg,Umsy.c,Kwinag,72,72,64,68,76,79,Kwinageese
Nass,LTAvg,Umsy.c,Meziadin,71,71,65,67,75,78,Meziadin
Nass,LTAvg,Umsy.c,LNassSRT,68,68,59,63,74,79,Lower Nass Sea & River Type
Nass,LTAvg,Umsy.c,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Umsy.c,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Umsy.c,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Umsy.c,Agg Fit,53,56,32,45,63,68,NA
Nass,Now,Umsy.c,Min,44,47,NA,NA,NA,NA,NA
Nass,Now,Umsy.c,Med,59.5,61,NA,NA,NA,NA,NA
Nass,Now,Umsy.c,Max,68,67,NA,NA,NA,NA,NA
Nass,Now,Umsy.c,Kwinag,68,67,59,62,72,76,Kwinageese
Nass,Now,Umsy.c,Damdoch,64,65,54,60,69,73,Damdochax
Nass,Now,Umsy.c,LNassSRT,55,57,27,43,71,81,Lower Nass Sea & River Type
Nass,Now,Umsy.c,Meziadin,44,47,23,33,57,62,Meziadin
Nass,Now,Umsy.c,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Umsy.c,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Umsy.c,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
SkeenaWild,LTAvg,Umsy,Agg Fit,44,44,28,35,53,59,NA
SkeenaWild,LTAvg,Umsy,Min,36,36,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Umsy,Med,55.5,56,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Umsy,Max,79,79,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Umsy,Sustut,79,79,72,75,82,85,Sustut
SkeenaWild,LTAvg,Umsy,Bear,73,73,67,70,76,78,Bear
SkeenaWild,LTAvg,Umsy,Morice,65,65,58,62,69,72,Morice
SkeenaWild,LTAvg,Umsy,Kitsumk,64,64,58,61,67,69,Kitsumkalum
SkeenaWild,LTAvg,Umsy,Mcdonell,63,63,57,60,66,69,Mcdonell
SkeenaWild,LTAvg,Umsy,Bab-MW,57,58,48,53,62,65,Babine Mid Wild
SkeenaWild,LTAvg,Umsy,Slamg,57,57,47,51,62,66,Slamgeesh
SkeenaWild,LTAvg,Umsy,Alastair,57,57,49,53,61,64,Alastair
SkeenaWild,LTAvg,Umsy,Motase,54,55,39,47,62,67,Motase
SkeenaWild,LTAvg,Umsy,Johnston,53,53,43,48,59,64,Johnston
SkeenaWild,LTAvg,Umsy,Bab-LW,50,49,40,44,55,59,Babine Late Wild
SkeenaWild,LTAvg,Umsy,Bab-EW,46,46,36,40,51,57,Babine Early Wild
SkeenaWild,LTAvg,Umsy,Lakelse,43,43,34,39,48,52,Lakelse
SkeenaWild,LTAvg,Umsy,Asitka,42,43,24,34,52,58,Asitka
SkeenaWild,LTAvg,Umsy,Kitwanga,37,37,16,26,48,56,Kitwanga
SkeenaWild,LTAvg,Umsy,SwanSteph,36,36,25,30,43,48,Swan/Stephens
SkeenaWild,LTAvg,Umsy,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,LTAvg,Umsy,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,LTAvg,Umsy,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,LTAvg,Umsy,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,LTAvg,Umsy,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,LTAvg,Umsy,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,Now,Umsy,Agg Fit,24,24,6,14,34,43,NA
SkeenaWild,Now,Umsy,Min,25,25,NA,NA,NA,NA,NA
