Aggregate,Scenario,BM,Label,Mean,Median,p10,p25,p75,p90,Stock
SkeenaWild,Now,Sgen,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,Now,Sgen,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,Now,Sgen,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,Now,Sgen,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,LTAvg,Sgen.c,Agg Fit,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Sgen.c,Sum,124826,117924,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Sgen.c,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Sgen.c,Bab-LW,77466,73801,36365,52057,100078,123586,Babine Late Wild
SkeenaWild,LTAvg,Sgen.c,Bab-EW,16703,14949,8400,10986,20208,27518,Babine Early Wild
SkeenaWild,LTAvg,Sgen.c,SwanSteph,10512,10589,6089,8013,13028,14936,Swan/Stephens
SkeenaWild,LTAvg,Sgen.c,Lakelse,3662,3554,2609,2994,4169,4823,Lakelse
SkeenaWild,LTAvg,Sgen.c,Bab-MW,3890,3506,2252,2735,4639,6109,Babine Mid Wild
SkeenaWild,LTAvg,Sgen.c,Kitsumk,3127,3077,2198,2554,3652,4197,Kitsumkalum
SkeenaWild,LTAvg,Sgen.c,Alastair,2752,2624,1788,2182,3239,3820,Alastair
SkeenaWild,LTAvg,Sgen.c,Kitwanga,2645,1995,528,984,3815,5950,Kitwanga
SkeenaWild,LTAvg,Sgen.c,Morice,1501,1460,956,1154,1743,2133,Morice
SkeenaWild,LTAvg,Sgen.c,Johnston,835,863,536,707,993,1069,Johnston
SkeenaWild,LTAvg,Sgen.c,Bear,583,557,381,460,681,813,Bear
SkeenaWild,LTAvg,Sgen.c,Mcdonell,445,434,311,367,502,598,Mcdonell
SkeenaWild,LTAvg,Sgen.c,Asitka,417,249,112,165,510,1010,Asitka
SkeenaWild,LTAvg,Sgen.c,Motase,151,127,54,84,198,287,Motase
SkeenaWild,LTAvg,Sgen.c,Slamg,80,80,40,59,98,123,Slamgeesh
SkeenaWild,LTAvg,Sgen.c,Sustut,57,59,15,30,78,96,Sustut
SkeenaWild,LTAvg,Sgen.c,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,LTAvg,Sgen.c,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,LTAvg,Sgen.c,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,LTAvg,Sgen.c,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,LTAvg,Sgen.c,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,LTAvg,Sgen.c,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,Now,Sgen.c,Agg Fit,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,Now,Sgen.c,Sum,119052,109244,NA,NA,NA,NA,NA
SkeenaWild,Now,Sgen.c,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
SkeenaWild,Now,Sgen.c,Bab-LW,72300,65816,44252,52575,84150,112328,Babine Late Wild
SkeenaWild,Now,Sgen.c,Bab-EW,16700,15561,10675,12752,19125,24896,Babine Early Wild
SkeenaWild,Now,Sgen.c,SwanSteph,7669,7062,4656,5719,9180,11619,Swan/Stephens
SkeenaWild,Now,Sgen.c,Bab-MW,4634,4199,2559,3143,5609,7307,Babine Mid Wild
SkeenaWild,Now,Sgen.c,Lakelse,3726,3728,2522,3147,4285,4859,Lakelse
SkeenaWild,Now,Sgen.c,Kitsumk,3339,3244,2016,2467,4140,4868,Kitsumkalum
SkeenaWild,Now,Sgen.c,Kitwanga,3603,2944,670,1434,5259,7541,Kitwanga
SkeenaWild,Now,Sgen.c,Alastair,2676,2600,1183,1715,3560,4272,Alastair
SkeenaWild,Now,Sgen.c,Morice,2132,2060,1348,1634,2519,3059,Morice
SkeenaWild,Now,Sgen.c,Johnston,668,639,333,470,900,1026,Johnston
SkeenaWild,Now,Sgen.c,Bear,490,467,281,359,596,732,Bear
SkeenaWild,Now,Sgen.c,Mcdonell,443,432,310,368,500,576,Mcdonell
SkeenaWild,Now,Sgen.c,Asitka,403,248,107,162,485,956,Asitka
SkeenaWild,Now,Sgen.c,Motase,151,126,54,87,199,282,Motase
SkeenaWild,Now,Sgen.c,Slamg,62,60,18,39,81,104,Slamgeesh
SkeenaWild,Now,Sgen.c,Sustut,56,58,15,30,78,95,Sustut
SkeenaWild,Now,Sgen.c,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,Now,Sgen.c,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,Now,Sgen.c,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,Now,Sgen.c,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,Now,Sgen.c,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,Now,Sgen.c,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
