MU,Stock,Gen,UpTo,nObs,GenAvg,LBM,UBM,RatioLBM,RatioUBM,MetricStatus,MetricScore
SkeenaWild,Kitwanga,4,1982,2,187,2957,4764,0.06,0.04,Red,1
Nass,Lower Nass Sea & River Type,4,1982,1,2715,18270,35288,0.15,0.08,Red,1
SkeenaWild,Kitsumkalum,5,1982,5,975,3241,11699,0.3,0.08,Red,1
SkeenaWild,Sustut,5,1982,4,92,86,614,1.07,0.15,Amber,2
SkeenaWild,Morice,5,1982,5,1948,2152,8318,0.91,0.23,Red,1
SkeenaWild,Asitka,5,1982,3,182,366,671,0.5,0.27,Red,1
SkeenaWild,Johnston,5,1982,3,1005,1004,2380,1,0.42,Amber,2
SkeenaWild,Bear,5,1982,4,1870,656,3592,2.85,0.52,Amber,2
SkeenaWild,Babine Mid Wild,5,1982,5,8016,4820,13796,1.66,0.58,Amber,2
SkeenaWild,Babine Late Wild,5,1982,5,148871,92775,196144,1.6,0.76,Amber,2
SkeenaWild,Mcdonell,5,1982,5,1969,496,1748,3.97,1.13,Green,3
SkeenaWild,Babine Early Wild,5,1982,5,45141,17982,34350,2.51,1.31,Green,3
SkeenaWild,Alastair,5,1982,5,12263,3324,9248,3.69,1.33,Green,3
Nass,Damdochax,5,1982,1,5000,871,3554,5.74,1.41,Green,3
SkeenaWild,Swan/Stephens,5,1982,4,26581,11191,16747,2.38,1.59,Green,3
Nass,Meziadin,5,1982,1,250000,32713,124460,7.64,2.01,Green,3
SkeenaWild,Lakelse,5,1982,5,18344,3960,7161,4.63,2.56,Green,3
Nass,Kwinageese,4,1982,1,20000,1899,6066,10.53,3.3,Green,3
Nass,Bowser,5,1982,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1982,0,NA,NA,NA,NA,NA,None,0
Nass,Upper Nass River Type,4,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1982,0,NA,87,213,NA,NA,None,0
SkeenaWild,Motase,5,1982,0,NA,163,406,NA,NA,None,0
SkeenaWild,Kluantantan,5,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1982,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitwanga,4,1983,1,200,2957,4764,0.07,0.04,Red,1
SkeenaWild,Kitsumkalum,5,1983,5,836,3241,11699,0.26,0.07,Red,1
Nass,Lower Nass Sea & River Type,4,1983,2,3840,18270,35288,0.21,0.11,Red,1
SkeenaWild,Asitka,5,1983,2,100,366,671,0.27,0.15,Red,1
SkeenaWild,Morice,5,1983,5,2953,2152,8318,1.37,0.36,Amber,2
SkeenaWild,Johnston,5,1983,2,1007,1004,2380,1,0.42,Amber,2
Nass,Damdochax,5,1983,2,1581,871,3554,1.82,0.44,Amber,2
SkeenaWild,Bear,5,1983,3,1657,656,3592,2.53,0.46,Amber,2
SkeenaWild,Sustut,5,1983,3,330,86,614,3.84,0.54,Amber,2
SkeenaWild,Babine Mid Wild,5,1983,5,9440,4820,13796,1.96,0.68,Amber,2
SkeenaWild,Babine Late Wild,5,1983,5,167345,92775,196144,1.8,0.85,Amber,2
Nass,Kwinageese,4,1983,2,6325,1899,6066,3.33,1.04,Green,3
SkeenaWild,Mcdonell,5,1983,5,2058,496,1748,4.15,1.18,Green,3
SkeenaWild,Alastair,5,1983,5,11491,3324,9248,3.46,1.24,Green,3
SkeenaWild,Babine Early Wild,5,1983,5,43613,17982,34350,2.43,1.27,Green,3
Nass,Meziadin,5,1983,2,206155,32713,124460,6.3,1.66,Green,3
SkeenaWild,Swan/Stephens,5,1983,5,28524,11191,16747,2.55,1.7,Green,3
SkeenaWild,Lakelse,5,1983,5,20226,3960,7161,5.11,2.82,Green,3
Nass,Upper Nass River Type,4,1983,1,392,NA,NA,NA,NA,None,0
Nass,Bowser,5,1983,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1983,0,NA,87,213,NA,NA,None,0
SkeenaWild,Motase,5,1983,0,NA,163,406,NA,NA,None,0
SkeenaWild,Kluantantan,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1983,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitsumkalum,5,1984,5,889,3241,11699,0.27,0.08,Red,1
SkeenaWild,Asitka,5,1984,1,100,366,671,0.27,0.15,Red,1
Nass,Lower Nass Sea & River Type,4,1984,3,6147,18270,35288,0.34,0.17,Red,1
SkeenaWild,Bear,5,1984,3,1062,656,3592,1.62,0.3,Amber,2
Nass,Damdochax,5,1984,3,1357,871,3554,1.56,0.38,Amber,2
SkeenaWild,Johnston,5,1984,2,1007,1004,2380,1,0.42,Amber,2
SkeenaWild,Morice,5,1984,5,3950,2152,8318,1.84,0.47,Amber,2
SkeenaWild,Babine Mid Wild,5,1984,5,7740,4820,13796,1.61,0.56,Amber,2
SkeenaWild,Sustut,5,1984,2,424,86,614,4.93,0.69,Amber,2
SkeenaWild,Babine Late Wild,5,1984,5,149654,92775,196144,1.61,0.76,Amber,2
SkeenaWild,Mcdonell,5,1984,5,1758,496,1748,3.54,1.01,Green,3
Nass,Kwinageese,4,1984,3,6214,1899,6066,3.27,1.02,Green,3
SkeenaWild,Alastair,5,1984,5,9770,3324,9248,2.94,1.06,Green,3
SkeenaWild,Babine Early Wild,5,1984,5,39690,17982,34350,2.21,1.16,Green,3
Nass,Meziadin,5,1984,3,181206,32713,124460,5.54,1.46,Green,3
SkeenaWild,Swan/Stephens,5,1984,5,30816,11191,16747,2.75,1.84,Green,3
SkeenaWild,Lakelse,5,1984,5,19162,3960,7161,4.84,2.68,Green,3
Nass,Upper Nass River Type,4,1984,2,299,NA,NA,NA,NA,None,0
Nass,Bowser,5,1984,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitwanga,4,1984,0,NA,2957,4764,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1984,0,NA,87,213,NA,NA,None,0
SkeenaWild,Motase,5,1984,0,NA,163,406,NA,NA,None,0
SkeenaWild,Kluantantan,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1984,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitsumkalum,5,1985,5,1070,3241,11699,0.33,0.09,Red,1
Nass,Lower Nass Sea & River Type,4,1985,4,7843,18270,35288,0.43,0.22,Red,1
SkeenaWild,Bear,5,1985,3,1168,656,3592,1.78,0.33,Amber,2
SkeenaWild,Sustut,5,1985,1,300,86,614,3.49,0.49,Amber,2
SkeenaWild,Johnston,5,1985,3,1225,1004,2380,1.22,0.51,Amber,2
SkeenaWild,Babine Mid Wild,5,1985,5,8441,4820,13796,1.75,0.61,Amber,2
SkeenaWild,Morice,5,1985,5,5450,2152,8318,2.53,0.66,Amber,2
Nass,Damdochax,5,1985,4,2475,871,3554,2.84,0.7,Amber,2
SkeenaWild,Alastair,5,1985,5,7501,3324,9248,2.26,0.81,Amber,2
SkeenaWild,Kitwanga,4,1985,1,4400,2957,4764,1.49,0.92,Amber,2
SkeenaWild,Babine Late Wild,5,1985,5,188437,92775,196144,2.03,0.96,Amber,2
Nass,Kwinageese,4,1985,4,7746,1899,6066,4.08,1.28,Green,3
SkeenaWild,Mcdonell,5,1985,5,2352,496,1748,4.74,1.35,Green,3
SkeenaWild,Babine Early Wild,5,1985,5,47238,17982,34350,2.63,1.38,Green,3
Nass,Meziadin,5,1985,4,203576,32713,124460,6.22,1.64,Green,3
SkeenaWild,Swan/Stephens,5,1985,5,36948,11191,16747,3.3,2.21,Green,3
SkeenaWild,Lakelse,5,1985,5,19983,3960,7161,5.05,2.79,Green,3
Nass,Upper Nass River Type,4,1985,3,327,NA,NA,NA,NA,None,0
Nass,Bowser,5,1985,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1985,0,NA,87,213,NA,NA,None,0
SkeenaWild,Motase,5,1985,0,NA,163,406,NA,NA,None,0
SkeenaWild,Asitka,5,1985,0,NA,366,671,NA,NA,None,0
SkeenaWild,Kluantantan,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1985,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitsumkalum,5,1986,5,1355,3241,11699,0.42,0.12,Red,1
Nass,Lower Nass Sea & River Type,4,1986,4,7843,18270,35288,0.43,0.22,Red,1
SkeenaWild,Bear,5,1986,3,1468,656,3592,2.24,0.41,Amber,2
SkeenaWild,Johnston,5,1986,3,1088,1004,2380,1.08,0.46,Amber,2
SkeenaWild,Babine Mid Wild,5,1986,5,7462,4820,13796,1.55,0.54,Amber,2
SkeenaWild,Morice,5,1986,5,6790,2152,8318,3.16,0.82,Amber,2
SkeenaWild,Kitwanga,4,1986,1,4400,2957,4764,1.49,0.92,Amber,2
Nass,Damdochax,5,1986,5,3272,871,3554,3.76,0.92,Amber,2
SkeenaWild,Babine Late Wild,5,1986,5,203736,92775,196144,2.2,1.04,Green,3
SkeenaWild,Babine Early Wild,5,1986,5,42335,17982,34350,2.35,1.23,Green,3
SkeenaWild,Alastair,5,1986,5,12260,3324,9248,3.69,1.33,Green,3
Nass,Kwinageese,4,1986,4,8190,1899,6066,4.31,1.35,Green,3
Nass,Meziadin,5,1986,5,181773,32713,124460,5.56,1.46,Green,3
SkeenaWild,Mcdonell,5,1986,5,2702,496,1748,5.45,1.55,Green,3
SkeenaWild,Swan/Stephens,5,1986,5,38525,11191,16747,3.44,2.3,Green,3
SkeenaWild,Lakelse,5,1986,5,17805,3960,7161,4.5,2.49,Green,3
Nass,Upper Nass River Type,4,1986,3,327,NA,NA,NA,NA,None,0
Nass,Bowser,5,1986,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1986,0,NA,87,213,NA,NA,None,0
SkeenaWild,Motase,5,1986,0,NA,163,406,NA,NA,None,0
SkeenaWild,Asitka,5,1986,0,NA,366,671,NA,NA,None,0
SkeenaWild,Sustut,5,1986,0,NA,86,614,NA,NA,None,0
SkeenaWild,Kluantantan,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1986,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitsumkalum,5,1987,5,1801,3241,11699,0.56,0.15,Red,1
SkeenaWild,Asitka,5,1987,1,100,366,671,0.27,0.15,Red,1
Nass,Lower Nass Sea & River Type,4,1987,4,6595,18270,35288,0.36,0.19,Red,1
SkeenaWild,Johnston,5,1987,3,1156,1004,2380,1.15,0.49,Amber,2
SkeenaWild,Bear,5,1987,4,2439,656,3592,3.72,0.68,Amber,2
SkeenaWild,Babine Mid Wild,5,1987,5,9457,4820,13796,1.96,0.69,Amber,2
Nass,Damdochax,5,1987,5,2724,871,3554,3.13,0.77,Amber,2
SkeenaWild,Morice,5,1987,5,7192,2152,8318,3.34,0.86,Amber,2
SkeenaWild,Kitwanga,4,1987,1,4400,2957,4764,1.49,0.92,Amber,2
SkeenaWild,Babine Early Wild,5,1987,5,35387,17982,34350,1.97,1.03,Green,3
SkeenaWild,Babine Late Wild,5,1987,5,220577,92775,196144,2.38,1.12,Green,3
Nass,Meziadin,5,1987,5,162783,32713,124460,4.98,1.31,Green,3
SkeenaWild,Alastair,5,1987,5,12386,3324,9248,3.73,1.34,Green,3
SkeenaWild,Sustut,5,1987,1,900,86,614,10.47,1.47,Green,3
SkeenaWild,Lakelse,5,1987,5,12581,3960,7161,3.18,1.76,Green,3
Nass,Kwinageese,4,1987,4,11398,1899,6066,6,1.88,Green,3
SkeenaWild,Mcdonell,5,1987,5,3366,496,1748,6.79,1.93,Green,3
SkeenaWild,Swan/Stephens,5,1987,5,44160,11191,16747,3.95,2.64,Green,3
SkeenaWild,Motase,5,1987,1,1500,163,406,9.2,3.69,Green,3
Nass,Upper Nass River Type,4,1987,2,299,NA,NA,NA,NA,None,0
Nass,Bowser,5,1987,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1987,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1987,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1987,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1987,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1987,0,NA,87,213,NA,NA,None,0
SkeenaWild,Kluantantan,5,1987,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1987,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1987,0,NA,NA,NA,NA,NA,None,0
Nass,Lower Nass Sea & River Type,4,1988,4,4250,18270,35288,0.23,0.12,Red,1
SkeenaWild,Asitka,5,1988,1,100,366,671,0.27,0.15,Red,1
SkeenaWild,Kitsumkalum,5,1988,5,2259,3241,11699,0.7,0.19,Red,1
SkeenaWild,Johnston,5,1988,4,1215,1004,2380,1.21,0.51,Amber,2
SkeenaWild,Morice,5,1988,5,5450,2152,8318,2.53,0.66,Amber,2
SkeenaWild,Babine Mid Wild,5,1988,5,11479,4820,13796,2.38,0.83,Amber,2
SkeenaWild,Bear,5,1988,5,3008,656,3592,4.59,0.84,Amber,2
SkeenaWild,Kitwanga,4,1988,1,4400,2957,4764,1.49,0.92,Amber,2
SkeenaWild,Motase,5,1988,2,387,163,406,2.37,0.95,Amber,2
Nass,Damdochax,5,1988,5,3594,871,3554,4.13,1.01,Green,3
SkeenaWild,Babine Early Wild,5,1988,5,38746,17982,34350,2.15,1.13,Green,3
SkeenaWild,Sustut,5,1988,2,704,86,614,8.19,1.15,Green,3
Nass,Meziadin,5,1988,5,151058,32713,124460,4.62,1.21,Green,3
SkeenaWild,Babine Late Wild,5,1988,5,261651,92775,196144,2.82,1.33,Green,3
SkeenaWild,Alastair,5,1988,5,12386,3324,9248,3.73,1.34,Green,3
Nass,Kwinageese,4,1988,4,9157,1899,6066,4.82,1.51,Green,3
SkeenaWild,Lakelse,5,1988,5,11133,3960,7161,2.81,1.55,Green,3
SkeenaWild,Mcdonell,5,1988,5,2802,496,1748,5.65,1.6,Green,3
SkeenaWild,Swan/Stephens,5,1988,5,51587,11191,16747,4.61,3.08,Green,3
Nass,Upper Nass River Type,4,1988,1,392,NA,NA,NA,NA,None,0
Nass,Bowser,5,1988,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1988,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1988,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1988,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1988,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1988,0,NA,87,213,NA,NA,None,0
SkeenaWild,Kluantantan,5,1988,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1988,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1988,0,NA,NA,NA,NA,NA,None,0
Nass,Lower Nass Sea & River Type,4,1989,4,2899,18270,35288,0.16,0.08,Red,1
SkeenaWild,Asitka,5,1989,1,100,366,671,0.27,0.15,Red,1
SkeenaWild,Kitsumkalum,5,1989,5,2919,3241,11699,0.9,0.25,Red,1
SkeenaWild,Johnston,5,1989,5,1057,1004,2380,1.05,0.44,Amber,2
SkeenaWild,Morice,5,1989,5,6175,2152,8318,2.87,0.74,Amber,2
SkeenaWild,Babine Mid Wild,5,1989,5,11374,4820,13796,2.36,0.82,Amber,2
SkeenaWild,Sustut,5,1989,3,563,86,614,6.55,0.92,Amber,2
SkeenaWild,Motase,5,1989,3,391,163,406,2.4,0.96,Amber,2
Nass,Meziadin,5,1989,5,122945,32713,124460,3.76,0.99,Amber,2
SkeenaWild,Bear,5,1989,5,3662,656,3592,5.58,1.02,Green,3
SkeenaWild,Babine Early Wild,5,1989,5,36024,17982,34350,2,1.05,Green,3
SkeenaWild,Babine Late Wild,5,1989,5,239934,92775,196144,2.59,1.22,Green,3
Nass,Damdochax,5,1989,5,4959,871,3554,5.69,1.4,Green,3
SkeenaWild,Lakelse,5,1989,5,10665,3960,7161,2.69,1.49,Green,3
Nass,Kwinageese,4,1989,4,9157,1899,6066,4.82,1.51,Green,3
SkeenaWild,Alastair,5,1989,5,14033,3324,9248,4.22,1.52,Green,3
SkeenaWild,Mcdonell,5,1989,5,3600,496,1748,7.26,2.06,Green,3
SkeenaWild,Swan/Stephens,5,1989,5,49816,11191,16747,4.45,2.97,Green,3
Nass,Bowser,5,1989,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1989,0,NA,NA,NA,NA,NA,None,0
Nass,Upper Nass River Type,4,1989,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1989,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kitwanga,4,1989,0,NA,2957,4764,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1989,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1989,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1989,0,NA,87,213,NA,NA,None,0
SkeenaWild,Kluantantan,5,1989,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1989,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1989,0,NA,NA,NA,NA,NA,None,0
Nass,Lower Nass Sea & River Type,4,1990,4,2474,18270,35288,0.14,0.07,Red,1
SkeenaWild,Kitwanga,4,1990,1,1000,2957,4764,0.34,0.21,Red,1
SkeenaWild,Asitka,5,1990,2,161,366,671,0.44,0.24,Red,1
SkeenaWild,Kitsumkalum,5,1990,5,3636,3241,11699,1.12,0.31,Amber,2
SkeenaWild,Johnston,5,1990,5,922,1004,2380,0.92,0.39,Red,1
SkeenaWild,Motase,5,1990,4,245,163,406,1.5,0.6,Amber,2
SkeenaWild,Sustut,5,1990,4,417,86,614,4.85,0.68,Amber,2
SkeenaWild,Babine Mid Wild,5,1990,5,9604,4820,13796,1.99,0.7,Amber,2
SkeenaWild,Babine Early Wild,5,1990,5,27965,17982,34350,1.56,0.81,Amber,2
SkeenaWild,Morice,5,1990,5,6697,2152,8318,3.11,0.81,Amber,2
Nass,Meziadin,5,1990,5,103314,32713,124460,3.16,0.83,Amber,2
SkeenaWild,Lakelse,5,1990,5,6338,3960,7161,1.6,0.89,Amber,2
SkeenaWild,Babine Late Wild,5,1990,5,190904,92775,196144,2.06,0.97,Amber,2
SkeenaWild,Bear,5,1990,5,3529,656,3592,5.38,0.98,Amber,2
Nass,Damdochax,5,1990,5,3807,871,3554,4.37,1.07,Green,3
Nass,Kwinageese,4,1990,4,7921,1899,6066,4.17,1.31,Green,3
SkeenaWild,Alastair,5,1990,5,14674,3324,9248,4.41,1.59,Green,3
SkeenaWild,Mcdonell,5,1990,5,4324,496,1748,8.72,2.47,Green,3
SkeenaWild,Swan/Stephens,5,1990,5,49646,11191,16747,4.44,2.96,Green,3
Nass,Bowser,5,1990,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1990,0,NA,NA,NA,NA,NA,None,0
Nass,Upper Nass River Type,4,1990,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1990,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1990,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1990,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1990,0,NA,87,213,NA,NA,None,0
SkeenaWild,Kluantantan,5,1990,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1990,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1990,0,NA,NA,NA,NA,NA,None,0
Nass,Lower Nass Sea & River Type,4,1991,4,2111,18270,35288,0.12,0.06,Red,1
SkeenaWild,Kitwanga,4,1991,1,1000,2957,4764,0.34,0.21,Red,1
SkeenaWild,Asitka,5,1991,3,240,366,671,0.66,0.36,Red,1
SkeenaWild,Kitsumkalum,5,1991,5,4529,3241,11699,1.4,0.39,Amber,2
SkeenaWild,Johnston,5,1991,5,1030,1004,2380,1.03,0.43,Amber,2
SkeenaWild,Motase,5,1991,5,255,163,406,1.56,0.63,Amber,2
Nass,Damdochax,5,1991,5,2993,871,3554,3.44,0.84,Amber,2
Nass,Kwinageese,4,1991,4,5692,1899,6066,3,0.94,Amber,2
