MU,Stock,Gen,UpTo,nObs,GenAvg,LBM,UBM,RatioLBM,RatioUBM,MetricStatus,MetricScore
SkeenaWild,Babine Early Wild,5,1991,5,32699,17982,34350,1.82,0.95,Amber,2
SkeenaWild,Lakelse,5,1991,5,6873,3960,7161,1.74,0.96,Amber,2
Nass,Meziadin,5,1991,5,120558,32713,124460,3.69,0.97,Amber,2
SkeenaWild,Sustut,5,1991,5,605,86,614,7.03,0.99,Amber,2
SkeenaWild,Babine Mid Wild,5,1991,5,13942,4820,13796,2.89,1.01,Green,3
SkeenaWild,Babine Late Wild,5,1991,5,230813,92775,196144,2.49,1.18,Green,3
SkeenaWild,Morice,5,1991,5,9787,2152,8318,4.55,1.18,Green,3
SkeenaWild,Bear,5,1991,5,4569,656,3592,6.96,1.27,Green,3
SkeenaWild,Alastair,5,1991,5,14811,3324,9248,4.46,1.6,Green,3
SkeenaWild,Mcdonell,5,1991,5,3134,496,1748,6.32,1.79,Green,3
SkeenaWild,Swan/Stephens,5,1991,5,52709,11191,16747,4.71,3.15,Green,3
Nass,Bowser,5,1991,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1991,0,NA,NA,NA,NA,NA,None,0
Nass,Upper Nass River Type,4,1991,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1991,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1991,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1991,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1991,0,NA,87,213,NA,NA,None,0
SkeenaWild,Kluantantan,5,1991,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1991,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1991,0,NA,NA,NA,NA,NA,None,0
Nass,Lower Nass Sea & River Type,4,1992,4,1562,18270,35288,0.09,0.04,Red,1
SkeenaWild,Kitwanga,4,1992,1,1000,2957,4764,0.34,0.21,Red,1
SkeenaWild,Johnston,5,1992,4,989,1004,2380,0.99,0.42,Red,1
SkeenaWild,Motase,5,1992,5,205,163,406,1.26,0.5,Amber,2
SkeenaWild,Kitsumkalum,5,1992,5,5977,3241,11699,1.84,0.51,Amber,2
SkeenaWild,Asitka,5,1992,3,479,366,671,1.31,0.71,Amber,2
SkeenaWild,Babine Mid Wild,5,1992,5,12297,4820,13796,2.55,0.89,Amber,2
Nass,Damdochax,5,1992,5,3519,871,3554,4.04,0.99,Amber,2
SkeenaWild,Babine Early Wild,5,1992,5,34827,17982,34350,1.94,1.01,Green,3
SkeenaWild,Bear,5,1992,5,3864,656,3592,5.89,1.08,Green,3
SkeenaWild,Lakelse,5,1992,5,7862,3960,7161,1.99,1.1,Green,3
Nass,Kwinageese,4,1992,4,6769,1899,6066,3.56,1.12,Green,3
Nass,Meziadin,5,1992,5,159961,32713,124460,4.89,1.29,Green,3
SkeenaWild,Sustut,5,1992,5,860,86,614,10,1.4,Green,3
SkeenaWild,Babine Late Wild,5,1992,5,276238,92775,196144,2.98,1.41,Green,3
SkeenaWild,Morice,5,1992,5,12482,2152,8318,5.8,1.5,Green,3
SkeenaWild,Alastair,5,1992,5,16270,3324,9248,4.89,1.76,Green,3
SkeenaWild,Mcdonell,5,1992,5,3471,496,1748,7,1.99,Green,3
SkeenaWild,Swan/Stephens,5,1992,5,53347,11191,16747,4.77,3.19,Green,3
Nass,Bowser,5,1992,0,NA,NA,NA,NA,NA,None,0
Nass,Oweegee,5,1992,0,NA,NA,NA,NA,NA,None,0
Nass,Upper Nass River Type,4,1992,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Ecstall,5,1992,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Upper Bulkley Lakes,5,1992,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Sicintine,5,1992,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Slamgeesh,4,1992,0,NA,87,213,NA,NA,None,0
SkeenaWild,Kluantantan,5,1992,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Kluayaz,5,1992,0,NA,NA,NA,NA,NA,None,0
SkeenaWild,Skeena River Type,5,1992,0,NA,NA,NA,NA,NA,None,0
Nass,Lower Nass Sea & River Type,4,1993,4,1163,18270,35288,0.06,0.03,Red,1
SkeenaWild,Kitwanga,4,1993,1,1000,2957,4764,0.34,0.21,Red,1
SkeenaWild,Johnston,5,1993,3,879,1004,2380,0.88,0.37,Red,1
SkeenaWild,Motase,5,1993,5,270,163,406,1.66,0.67,Amber,2
SkeenaWild,Kitsumkalum,5,1993,5,8504,3241,11699,2.62,0.73,Amber,2
SkeenaWild,Asitka,5,1993,4,527,366,671,1.44,0.79,Amber,2
SkeenaWild,Babine Early Wild,5,1993,5,28882,17982,34350,1.61,0.84,Amber,2
SkeenaWild,Babine Mid Wild,5,1993,5,12136,4820,13796,2.52,0.88,Amber,2
SkeenaWild,Bear,5,1993,5,3662,656,3592,5.58,1.02,Green,3
Nass,Kwinageese,4,1993,4,6402,1899,6066,3.37,1.06,Green,3
SkeenaWild,Lakelse,5,1993,5,8297,3960,7161,2.1,1.16,Green,3
Nass,Damdochax,5,1993,5,4661,871,3554,5.35,1.31,Green,3
Nass,Meziadin,5,1993,5,204550,32713,124460,6.25,1.64,Green,3
