Scenario,MU,Stock,StkNmS,StkID,ER0,ER10,ER20,ER30,ER40,ER50,ER60,ER70,ER80,ER90,Esc25,Esc50,Esc75,Esc100,Esc125,Esc150,Esc175,Esc200,Esc225,Esc250
Recent,Nass,Meziadin,Meziadin,2,0.7105,0.636,0.5625,0.484,0.3645,0.185,0.037,0.002,0,0,0,0,0.094,0.457,0.643,0.7015,0.7105,0.7105,0.711,0.7105
Recent,Nass,Bowser,Bowser,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,Nass,Oweegee,Oweege,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,Nass,Kwinageese,Kwinag,5,0.9775,0.9765,0.973,0.953,0.911,0.821,0.6175,0.307,0.0455,0,0.4255,0.766,0.906,0.954,0.9705,0.979,0.981,0.9785,0.979,0.9795
Recent,Nass,Damdochax,Damdoch,6,0.998,0.9935,0.9815,0.953,0.8865,0.7165,0.443,0.1215,0.005,0,0.288,0.593,0.752,0.8715,0.9445,0.973,0.99,0.9965,0.9975,0.998
Recent,Nass,Upper Nass River Type,UNassRT,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Johnston,Johnston,8,0.9975,0.994,0.9895,0.976,0.9345,0.8355,0.6625,0.403,0.1005,5e-4,0.576,0.8495,0.945,0.9785,0.989,0.993,0.995,0.9955,0.996,0.9965
Recent,SkeenaWild,Ecstall,Ecstall,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Alastair,Alastair,10,0.7425,0.7015,0.6375,0.5645,0.4575,0.3475,0.218,0.102,0.0265,0,0.172,0.3825,0.5375,0.634,0.684,0.7115,0.726,0.7325,0.737,0.7395
Recent,SkeenaWild,Lakelse,Lakelse,11,0.9595,0.9315,0.8765,0.7955,0.6745,0.5225,0.352,0.1365,0.008,0,0.2545,0.572,0.772,0.8655,0.9155,0.939,0.9505,0.954,0.9565,0.9585
Recent,SkeenaWild,Kitsumkalum,Kitsumk,12,1,1,1,1,1,0.9885,0.8395,0.385,0.011,0,0.6905,0.943,0.9845,0.9965,0.999,1,1,1,1,1
Recent,SkeenaWild,Mcdonell,Mcdonell,13,0.999,0.999,0.9995,0.999,0.9985,0.983,0.884,0.446,0.023,0,0.72,0.938,0.9805,0.992,0.995,0.9975,0.9985,0.9985,0.999,0.999
Recent,SkeenaWild,Kitwanga,Kitwanga,14,0.4255,0.365,0.3025,0.2285,0.15,0.0825,0.0315,0.004,0,0,0.0195,0.1,0.208,0.2885,0.349,0.3815,0.399,0.4115,0.415,0.4185
Recent,SkeenaWild,Upper Bulkley Lakes,UBulkLk,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Morice,Morice,16,0.9985,0.996,0.9925,0.9785,0.9195,0.7795,0.5495,0.1635,0.0085,0,0.4115,0.796,0.923,0.9775,0.991,0.9955,0.997,0.998,0.998,0.9985
Recent,SkeenaWild,Swan/Stephens,SwanSteph,17,0.5465,0.436,0.3135,0.192,0.087,0.0355,0.0115,0.0025,0,0,0.0095,0.073,0.1995,0.3315,0.429,0.4765,0.504,0.524,0.533,0.5395
Recent,SkeenaWild,Babine Early Wild,Bab-EW,18,0.637,0.534,0.415,0.292,0.177,0.0765,0.0245,0.0045,0,0,0.008,0.107,0.291,0.425,0.5265,0.572,0.5975,0.6155,0.623,0.6285
Recent,SkeenaWild,Babine Late Wild,Bab-LW,19,0.7405,0.654,0.5415,0.407,0.2555,0.126,0.042,0.0075,5e-4,0,5e-4,0.0195,0.391,0.6795,0.7395,0.7505,0.75,0.7475,0.746,0.746
Recent,SkeenaWild,Babine Mid Wild,Bab-MW,20,0.972,0.96,0.938,0.912,0.8445,0.7195,0.507,0.2275,0.038,0,0.428,0.7525,0.8715,0.9205,0.947,0.958,0.9665,0.968,0.9685,0.971
Recent,SkeenaChannel,Pinkut,Pinkut,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaChannel,Fulton,Fulton,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Sicintine,Sicintine,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Slamgeesh,Slamg,24,0.9925,0.991,0.99,0.986,0.967,0.917,0.7605,0.4055,0.0595,0,0.644,0.8815,0.949,0.9715,0.9815,0.986,0.9895,0.9905,0.992,0.9925
Recent,SkeenaWild,Motase,Motase,25,0.963,0.96,0.951,0.9245,0.8825,0.7945,0.5955,0.293,0.069,0.0015,0.5005,0.779,0.875,0.9225,0.946,0.9565,0.9605,0.962,0.9625,0.9625
Recent,SkeenaWild,Bear,Bear,26,0.996,0.9965,0.9975,0.997,0.9975,0.999,0.9955,0.9405,0.5715,0.009,0.9685,0.995,0.992,0.9935,0.995,0.996,0.995,0.996,0.996,0.996
Recent,SkeenaWild,Asitka,Asitka,27,0.972,0.963,0.9405,0.898,0.818,0.6735,0.4365,0.145,0.005,0,0.349,0.6865,0.8375,0.9085,0.942,0.9605,0.966,0.967,0.968,0.9695
Recent,SkeenaWild,Sustut,Sustut,28,0.927,0.935,0.94,0.9405,0.9435,0.939,0.9065,0.7875,0.4215,0.009,0.87,0.905,0.9115,0.9145,0.917,0.922,0.926,0.926,0.9265,0.9275
Recent,SkeenaWild,Kluantantan,Kluant,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Kluayaz,Kluayaz,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,SkeenaWild,Skeena River Type,Skeena RT,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
