Scenario,MU,Stock,StkNmS,StkID,ER0,ER10,ER20,ER30,ER40,ER50,ER60,ER70,ER80,ER90,Esc25,Esc50,Esc75,Esc100,Esc125,Esc150,Esc175,Esc200,Esc225,Esc250
LTAvg,Nass,Lower Nass Sea & River Type,LNassSRT,1,0.8995,0.8635,0.8225,0.7445,0.6055,0.4005,0.152,0.006,0,0,0,0.0045,0.0365,0.1215,0.279,0.451,0.6095,0.713,0.7835,0.829
LTAvg,Nass,Meziadin,Meziadin,2,0.9975,0.997,0.998,0.997,0.9875,0.9395,0.7465,0.292,0.02,0,0.02,0.0405,0.456,0.977,0.9995,1,1,1,1,1
LTAvg,Nass,Bowser,Bowser,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,Nass,Oweegee,Oweege,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,Nass,Kwinageese,Kwinag,5,0.9645,0.9645,0.9595,0.949,0.9205,0.8595,0.676,0.359,0.061,0,0.0985,0.2595,0.446,0.6275,0.765,0.841,0.894,0.921,0.943,0.9505
LTAvg,Nass,Damdochax,Damdoch,6,0.9955,0.9955,0.9955,0.995,0.9895,0.9655,0.872,0.495,0.0525,0,0.1125,0.35,0.5705,0.757,0.878,0.9335,0.967,0.9825,0.9895,0.993
LTAvg,Nass,Upper Nass River Type,UNassRT,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Johnston,Johnston,8,0.9965,0.9925,0.9835,0.956,0.884,0.7265,0.439,0.1355,0.019,0,0.088,0.289,0.5225,0.746,0.8705,0.9305,0.966,0.9835,0.989,0.992
LTAvg,SkeenaWild,Ecstall,Ecstall,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Alastair,Alastair,10,0.832,0.741,0.574,0.384,0.2,0.055,0.0085,5e-4,0,0,0,0.0065,0.0405,0.129,0.2575,0.4135,0.5415,0.6405,0.7085,0.747
LTAvg,SkeenaWild,Lakelse,Lakelse,11,0.999,0.9985,0.992,0.9595,0.862,0.643,0.29,0.0475,0,0,0.0285,0.1845,0.4145,0.6515,0.815,0.9035,0.9555,0.9835,0.993,0.9955
LTAvg,SkeenaWild,Kitsumkalum,Kitsumk,12,1,1,1,1,1,0.9995,0.976,0.4305,0,0,0.218,0.6695,0.9005,0.981,0.9945,0.999,0.9995,0.9995,1,1
LTAvg,SkeenaWild,Mcdonell,Mcdonell,13,0.998,0.9995,0.9995,0.999,0.997,0.9865,0.8985,0.44,0.02,0,0.2675,0.636,0.8365,0.93,0.971,0.988,0.992,0.994,0.995,0.997
LTAvg,SkeenaWild,Kitwanga,Kitwanga,14,0.621,0.546,0.464,0.361,0.257,0.145,0.064,0.011,5e-4,0,0.006,0.035,0.092,0.1815,0.285,0.377,0.45,0.5065,0.5405,0.5695
LTAvg,SkeenaWild,Upper Bulkley Lakes,UBulkLk,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Morice,Morice,16,0.956,0.951,0.9395,0.9055,0.837,0.6835,0.43,0.124,0.0065,0,0.0875,0.2905,0.4635,0.619,0.749,0.832,0.8855,0.916,0.927,0.941
LTAvg,SkeenaWild,Swan/Stephens,SwanSteph,17,0.9185,0.8545,0.7535,0.5815,0.3675,0.174,0.046,0.0055,0,0,0.0035,0.0355,0.1165,0.267,0.4545,0.601,0.718,0.7845,0.8415,0.8715
LTAvg,SkeenaWild,Babine Early Wild,Bab-EW,18,0.989,0.981,0.9565,0.9105,0.8065,0.5715,0.3075,0.0665,0.004,0,0.0245,0.1935,0.439,0.663,0.823,0.903,0.9495,0.963,0.978,0.9815
LTAvg,SkeenaWild,Babine Late Wild,Bab-LW,19,0.9895,0.9845,0.97,0.9445,0.8775,0.7165,0.4335,0.1165,0.0045,0,0.0065,0.108,0.7855,0.9775,0.997,0.9985,0.9985,0.9975,0.997,0.996
LTAvg,SkeenaWild,Babine Mid Wild,Bab-MW,20,0.9885,0.988,0.9835,0.9775,0.955,0.8835,0.693,0.3285,0.036,0,0.2155,0.54,0.7225,0.85,0.918,0.9515,0.9675,0.977,0.9805,0.9845
LTAvg,SkeenaChannel,Pinkut,Pinkut,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaChannel,Fulton,Fulton,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Sicintine,Sicintine,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Slamgeesh,Slamg,24,0.996,0.995,0.9925,0.986,0.9585,0.867,0.613,0.1995,0.0155,0,0.1315,0.393,0.6315,0.7945,0.899,0.948,0.9755,0.985,0.989,0.9925
LTAvg,SkeenaWild,Motase,Motase,25,0.9695,0.9625,0.9505,0.926,0.8835,0.7915,0.5935,0.2995,0.0735,0.0025,0.205,0.4525,0.6225,0.7615,0.8465,0.888,0.9155,0.9365,0.949,0.959
LTAvg,SkeenaWild,Bear,Bear,26,0.9945,0.995,0.996,0.9975,0.999,0.998,0.991,0.889,0.2425,0,0.685,0.9105,0.962,0.978,0.9875,0.99,0.993,0.9935,0.9935,0.9935
LTAvg,SkeenaWild,Asitka,Asitka,27,0.9725,0.958,0.934,0.897,0.825,0.687,0.4415,0.153,0.004,0,0.099,0.3115,0.5045,0.672,0.795,0.862,0.911,0.933,0.9465,0.958
LTAvg,SkeenaWild,Sustut,Sustut,28,0.9325,0.9385,0.942,0.944,0.94,0.931,0.8975,0.781,0.425,0.009,0.68,0.8025,0.8385,0.862,0.8795,0.8975,0.914,0.9185,0.924,0.9245
LTAvg,SkeenaWild,Kluantantan,Kluant,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Kluayaz,Kluayaz,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTAvg,SkeenaWild,Skeena River Type,Skeena RT,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recent,Nass,Lower Nass Sea & River Type,LNassSRT,1,0.7725,0.7325,0.685,0.605,0.4965,0.363,0.2045,0.053,0,0,0.0485,0.3095,0.4855,0.612,0.693,0.735,0.756,0.7655,0.7695,0.7715
