Prod,Aggregate,U,NumSamples,NumNA,NumStksOverfished_p10,NumStksOverfished_p25,NumStksOverfished_Med,NumStksOverfished_p75,NumStksOverfished_p90,NumStksExtirpated_p10,NumStksExtirpated_p25,NumStksExtirpated_Med,NumStksExtirpated_p75,NumStksExtirpated_p90,NumStksBelowSgen_p10,NumStksBelowSgen_p25,NumStksBelowSgen_Med,NumStksBelowSgen_p75,NumStksBelowSgen_p90,EqSpn_p10,EqSpn_p25,EqSpn_Med,EqSpn_p75,EqSpn_p90,EqCt_p10,EqCt_p25,EqCt_Med,EqCt_p75,EqCt_p90,NumStksOverfishedv2p20,NumStksExtirpatedv2p20,NumStksBelowSgenv2p20,NumStksOverfishedv2p40,NumStksExtirpatedv2p40,NumStksBelowSgenv2p40
LTAvg,Nass,0.59,2000,0,1,1,1,2,2,0,0,0,0,1,0,0,0,1,1,177108.3074,203676.7697,230468.5241,257810.3535,288147.8277,254863.174,293095.8393,331649.8274,370995.3868,414651.752,2,0,1,1,0,1
LTAvg,Nass,0.6,2000,0,1,1,2,2,3,0,0,0,0,1,0,0,1,1,1,169894.9132,195543.7117,222148.0463,248796.2716,278241.3434,254842.3698,293315.5676,333222.0694,373194.4075,417362.015,2,1,1,2,0,1
LTAvg,Nass,0.61,2000,0,1,1,2,2,3,0,0,0,0,1,0,0,1,1,1,162158.1524,187039.6892,213452.0029,240211.745,268218.1235,253631.9819,292549.2575,333860.825,375715.8063,419520.6547,3,1,1,2,0,1
LTAvg,Nass,0.62,2000,0,1,1,2,2,3,0,0,0,1,1,0,0,1,1,1,153500.0341,179006.0752,204735.7219,231596.6154,259145.7863,250447.4241,292062.5437,334042.4936,377868.162,422816.8091,3,1,1,2,0,1
LTAvg,Nass,0.63,2000,0,1,2,2,3,3,0,0,0,1,1,0,0,1,1,1,145405.1819,170375.3141,196288.9407,222922.7446,249024.3901,247581.7962,290098.5078,334221.7098,379571.1598,424014.5021,4,1,1,2,0,1
LTAvg,Nass,0.64,2000,0,1,2,2,3,3,0,0,0,1,1,0,0,1,1,1,137320.534,161277.5221,187165.8887,213900.1954,239643.572,244125.3937,286715.5949,332739.3576,380267.014,426033.0168,4,1,1,3,0,1
LTAvg,Nass,0.65,2000,0,2,2,3,3,4,0,0,0,1,1,0,0,1,1,1,128882.1674,152261.9846,178524.059,204480.8982,229806.9936,239352.5966,282772.2571,331544.681,379750.2395,426784.4166,4,1,1,3,0,1
LTAvg,Nass,0.66,2000,0,2,2,3,3,4,0,0,0,1,1,0,0,1,1,1,119378.6567,143041.1114,169354.2097,195016.708,219402.2313,231735.0396,277668.0398,328746.407,378561.845,425898.4491,4,1,1,4,1,1
LTAvg,Nass,0.67,2000,0,2,2,3,4,4,0,0,1,1,1,0,1,1,1,2,110104.9374,133415.78,160076.9948,186039.8552,210141.4831,223546.3881,270874.4624,325004.8075,377717.2817,426650.8899,4,1,1,4,1,1
LTAvg,Nass,0.68,2000,0,2,3,3,4,4,0,0,1,1,1,0,1,1,1,2,100622.948,123721.3918,151079.5859,176261.074,199544.9426,213823.7645,262907.9576,321044.12,374554.7823,424033.0029,4,1,1,4,1,1
LTAvg,Nass,0.69,2000,0,2,3,3,4,4,0,0,1,1,1,0,1,1,1,2,91268.2006,114077.2585,141715.9359,166494.5872,190364.6894,203145.3497,253913.898,315432.2443,370584.7263,423714.9538,4,1,2,4,1,1
LTAvg,Nass,0.7,2000,0,3,3,4,4,4,0,0,1,1,1,0,1,1,1,2,79457.18851,104049.5129,132263.5693,157307.6753,180667.7762,185400.1065,242782.1967,308614.9951,367051.2423,421558.1445,4,1,2,4,1,1
LTAvg,Nass,0.71,2000,0,3,3,4,4,4,0,0,1,1,1,0,1,1,2,2,68799.29635,94825.37202,122767.233,147318.1678,170630.4511,168439.6566,232158.6694,300568.0531,360675.5142,417750.4147,4,1,2,4,1,1
LTAvg,Nass,0.72,2000,0,3,3,4,4,4,0,1,1,1,2,1,1,1,2,2,57611.19181,84220.63889,112930.1767,138129.1025,160733.6368,148143.0647,216567.3572,290391.8829,355189.1207,413315.0662,4,1,2,4,1,1
LTAvg,Nass,0.73,2000,0,3,4,4,4,4,0,1,1,1,2,1,1,1,2,2,45826.17464,74599.67248,102944.6933,128248.3476,151637.4587,123900.3981,201695.4108,278331.9485,346745.5325,409982.7587,4,1,2,4,1,1
LTAvg,Nass,0.74,2000,0,3,4,4,4,4,0,1,1,1,2,1,1,2,2,2,33961.2011,63724.86974,92439.40987,118425.831,141396.3054,96658.80314,181370.7831,263096.7819,337058.1342,402435.6383,4,2,2,4,1,2
LTAvg,Nass,0.75,2000,0,4,4,4,4,4,0,1,1,2,2,1,1,2,2,3,21136.95422,52125.04315,81960.03805,108528.2001,131036.7609,63410.86265,156375.1294,245880.1141,325584.6002,393110.2828,4,2,3,4,1,2
LTAvg,Nass,0.76,2000,0,4,4,4,4,4,1,1,1,2,2,1,1,2,2,3,10309.49492,40941.44099,71628.56676,98240.02323,121966.39,32646.7339,129647.8965,226823.7947,311093.4069,386226.9018,4,2,3,4,1,2
LTAvg,Nass,0.77,2000,0,4,4,4,4,4,1,1,1,2,2,1,2,2,3,3,4997.865516,28947.28678,60871.40422,87019.75263,111638.0197,16731.98455,96910.48183,203786.875,291326.9979,373744.6746,4,2,4,4,1,2
LTAvg,Nass,0.78,2000,0,4,4,4,4,4,1,1,2,2,3,1,2,2,3,3,2809.094269,16740.13022,49136.60273,76762.31679,100831.0378,9959.516043,59351.37076,174211.5915,272157.305,357491.8613,4,2,4,4,2,3
LTAvg,Nass,0.79,2000,0,4,4,4,4,4,1,1,2,2,3,2,2,3,3,4,1815.095696,5574.252143,37225.6366,66292.7916,89788.88665,6828.217144,20969.80568,140039.2996,249387.1684,337777.2403,4,3,4,4,2,3
LTAvg,Nass,0.8,2000,0,4,4,4,4,4,1,2,2,3,3,2,2,3,3,4,967.6080927,2659.42136,24404.93656,55038.64183,79517.0034,3870.432371,10637.68544,97619.74626,220154.5673,318068.0136,4,3,4,4,2,4
LTAvg,Nass,0.81,2000,0,4,4,4,4,4,1,2,2,3,3,2,3,3,4,4,227.5919358,1481.553991,11143.53107,43235.67725,68771.53785,970.2603577,6316.098595,47506.63245,184320.5188,293183.9245,4,4,4,4,3,4
LTAvg,Nass,0.82,2000,0,4,4,4,4,4,2,2,3,3,4,2,3,3,4,4,0,682.6656744,2934.885283,30866.44497,57375.03607,0,3109.921406,13370.03296,140613.8049,261375.1643,4,4,4,4,3,4
LTAvg,Nass,0.83,2000,0,4,4,4,4,4,2,2,3,3,4,3,3,4,4,4,0,11.64868479,1293.037779,18915.48301,45648.4537,0,56.87299046,6313.066803,92352.06409,222871.8622,4,4,4,4,4,4
LTAvg,Nass,0.84,2000,0,4,4,4,4,4,2,3,3,4,4,3,3,4,4,4,0,0,527.3473187,5835.386923,33270.65413,0,0,2768.573423,30635.78134,174670.9342,4,4,4,4,4,4
LTAvg,Nass,0.85,2000,0,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,0,0,0,1262.602103,20989.05993,0,0,0,7154.745253,118938.0062,4,4,4,4,4,4
LTAvg,Nass,0.86,2000,0,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,0,0,0,336.0001949,8038.204367,0,0,0,2064.001197,49377.54111,4,4,4,4,4,4
LTAvg,Nass,0.87,2000,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,0,0,0,1042.968479,0,0,0,0,6979.865976,4,4,4,4,4,4
LTAvg,Nass,0.88,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.89,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.9,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.91,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.92,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.93,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.94,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.95,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.96,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.97,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.98,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,0.99,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,Nass,1,2000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
LTAvg,SkeenaChannel,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126157.56,1312765.46,1623129.811,2001509.116,2429126.365,0,0,0,0,0,0,0,0,0,0,0
LTAvg,SkeenaChannel,0.01,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118675.039,1304024.342,1612172.962,1987261.527,2411538.089,11299.74786,13171.96305,16284.57538,20073.34876,24358.97059,0,0,0,0,0,0
LTAvg,SkeenaChannel,0.02,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110828.513,1295044.48,1601123.303,1972606.583,2393709.335,22669.96966,26429.47918,32675.98577,40257.27721,48851.21092,0,0,0,0,0,0
LTAvg,SkeenaChannel,0.03,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104144.962,1286186.734,1590190.245,1957716.562,2376405.113,34148.81324,39778.97114,49181.14159,60547.9349,73497.06535,0,0,0,0,0,0
LTAvg,SkeenaChannel,0.04,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097488.405,1278086.819,1578734.351,1943034.315,2358921.57,45728.68356,53253.61747,65780.59794,80959.76314,98288.39873,0,0,0,0,0,0
LTAvg,SkeenaChannel,0.05,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090409.508,1269298.58,1567233.869,1927016.343,2341254.949,57389.97409,66805.18844,82485.9931,101421.9128,123223.9447,0,0,0,0,0,0
LTAvg,SkeenaChannel,0.06,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083527.954,1260921.053,1555724.288,1911678.422,2323191.723,69161.35878,80484.32253,99301.55031,122022.0269,148288.8334,0,0,0,0,0,0
