ModelLabel,ReportLabel,ReportSeq,ReportDescription,ModelDo,Stock,ModelType,ModelFile,FirstBrYr,LastBrYr,n.chains,n.burnin,n.thin,n.samples,RetainedPerChain,p.alpha,tau_alpha,cap.prior.type,smax.note,smax.in,cv.smax,max.scalar,shape.tau_R,lambda_tau_R,shape.tauw,lambda_tauw,sr.scale,inits
SkeenaWildBasicAllYrCU,BRcu,2,Basic Ricker fit with all available data. Default priors.,TRUE,SkeenaWild,Basic,BUILT_IN_MODEL_Ricker_UniformCapPrior.txt,1900,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,3,default,default,NA,NA,1000000,default
SkeenaWildAR1AllYrWU,AR1wu,3,AR1 fit with all available data. Default uninformative priors.,FALSE,SkeenaWild,AR1,BUILT_IN_MODEL_RickerAR1_UniformCapPrior.txt,1900,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,5,default,default,default,default,1000000,default
SkeenaWildAR1AllYrCU,AR1cu,4,AR1 fit with all available data. Default uninformative priors.,FALSE,SkeenaWild,AR1,BUILT_IN_MODEL_RickerAR1_UniformCapPrior.txt,1900,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,3,default,default,default,default,1000000,default
SkeenaWildKalmanAllYrWU,KFwu,5,Time varying productivity fit with all available data. Default uninformative priors.,FALSE,SkeenaWild,Kalman,BUILT_IN_MODEL_RickerKalman_UniformCapPrior.txt,1900,2020,2,160000,80,240000,1000,default,default,uniform,,default,NA,5,default,default,default,default,1000000,default
SkeenaWildKalmanAllYrCU,KFcu,6,Time varying productivity fit with all available data. Default uninformative priors.,FALSE,SkeenaWild,Kalman,BUILT_IN_MODEL_RickerKalman_UniformCapPrior.txt,1900,2020,2,160000,80,240000,1000,default,default,uniform,,default,NA,3,default,default,default,default,1000000,default
SkeenaWildBasic98WU,BR98wu,7,Basic Ricker fit with data starting in 1998 (reviewed data only). Default uninformative priors.,FALSE,SkeenaWild,Basic,BUILT_IN_MODEL_Ricker_UniformCapPrior.txt,1998,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,5,default,default,NA,NA,1000000,default
SkeenaWildBasic98CU,BR98cu,8,Basic Ricker fit with data starting in 1998 (reviewed data only). Default uninformative priors.,FALSE,SkeenaWild,Basic,BUILT_IN_MODEL_Ricker_UniformCapPrior.txt,1998,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,3,default,default,NA,NA,1000000,default
SkeenaWildAR198WU,AR198wu,9,AR1 fit with data starting in 1998 (reviewed data only).  Default uninformative priors.,FALSE,SkeenaWild,AR1,BUILT_IN_MODEL_RickerAR1_UniformCapPrior.txt,1998,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,5,default,default,default,default,1000000,default
SkeenaWildAR198CU,AR198cu,10,AR1 fit with data starting in 1998 (reviewed data only).  Default uninformative priors.,FALSE,SkeenaWild,AR1,BUILT_IN_MODEL_RickerAR1_UniformCapPrior.txt,1998,2020,2,80000,60,140000,1000,default,default,uniform,,default,NA,3,default,default,default,default,1000000,default
SkeenaWildKalman98WU,KF98wu,11,Time-varying productivity fit  with data starting in 1998 (reviewed data only).  Default uninformative priors.,FALSE,SkeenaWild,Kalman,BUILT_IN_MODEL_RickerKalman_UniformCapPrior.txt,1998,2020,2,160000,80,240000,1000,default,default,uniform,,default,NA,5,default,default,default,default,1000000,default
SkeenaWildKalman98CU,KF98cu,12,Time-varying productivity fit  with data starting in 1998 (reviewed data only).  Default uninformative priors.,FALSE,SkeenaWild,Kalman,BUILT_IN_MODEL_RickerKalman_UniformCapPrior.txt,1998,2020,2,160000,80,240000,1000,default,default,uniform,,default,NA,3,default,default,default,default,1000000,default
